Input,Text
TARTE FRXXXTION Stick Exfoliating Cleanser,"Water, Butylene Glycol, Sodium Stearate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glycerin, Diatomaceous Earth, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Quaternium-90 Sepiolite, Charcoal Powder, Sodium Methyl Oleoyl Taurate, Sodium Cocoyl Isethionate, Quaternium-90 Montmorillonite, Kaolin, Phenoxyethanol, Chlorphenesin, Sodium Benzoate."
CLINIQUE Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer for Dry Combination Skin,"Avobenzone 3.0% , Octisalate 5.0%Water , Glycerin , Butyloctyl Salicylate , Polyester-8 , Octyldodecyl Neopentanoate , Behenyl Alcohol , Butylene Glycol , Myristyl Myristate , Cetyl Esters , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Tamarindus Indica Seed Extract , Plankton Extract , Centaurium Erythraea (Centaury) Extract , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Glyceryl Stearate , Algae Extract , Caffeine , Camellia Sinensis Leaf Extract , Saccharomyces Ferment Filtrate , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Nylon-12 , Acetyl Hexapeptide-8 , Sucrose , Biotin , Ergothioneine , Myristyl Laurate , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Polyethylene , Aminopropyl Ascorbyl Phosphate , Glycine Soja (Soybean) Protein , Peg-100 Stearate , Steareth-21 , Dimethicone , Acetyl Glucosamine , Astrocaryum Murumuru Seed Butter , Trisiloxane , Caprylyl Glycol , Tocopheryl Acetate , Myristyl Alcohol , Sodium Hyaluronate , Hexylene Glycol , Hydroxyethylcellulose , Sodium Benzoate , Sodium Citrate , Lecithin , Disodium Edta , Phenoxyethanol , Yellow 5 (Ci 19140) , Red 4 (Ci 14700)"
ORIGINS GinZing™ Refreshing Eye Cream to Brighten and Depuff,"Water, Methyl Trimethicone, Butylene Glycol, Peg-100 Stearate, Dimethicone, Cetyl Ricinoleate, Silica, Olea Europaea (Olive) Fruit Oil, Glycerin, Behenyl Alcohol, Cucumis Sativus (Cucumber) Fruit Extract, Panax Ginseng (Ginseng) Root Extract, Castanea Sativa (Chestnut) Seed Extract, Camellia Sinensis (Green Tea) Leaf Extract, Cordyceps Sinensis Extract, Magnolia Officinalis Bark Extract, Pyrus Malus (Apple) Fruit Extract, Scutellaria Baicalensis Root Extract, Pantethine, Panthenol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea Butter), Caffeine, Coleus Barbatus Extract, Yeast Extract\Faex\Extrait De Levure, Folic Acid, Hydrogenated Lecithin, Jojoba Wax Peg-120 Esters, Biotin, Tribehenin, Myristyl Alcohol, Palmitoyl Tetrapeptide-7, Trehalose, Sodium Hyaluronate, Ascorbyl Tocopheryl Maleate, Hesperidin Methyl Chalcone, Sodium Sulfite, Sodium Metabisulfite, Steareth-20, Dipeptide-2, Ethylhexylglycerin, Carbomer, Tromethamine, Sorbic Acid, Chlorphenesin, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499)."
OLEHENRIKSEN Pure Truth™ Youth Activating Oil,"Rosa Canina (Rosehip) Fruit Oil, Citrus Tangerina (Tangerine) Peel Oil, Tocopherol, Cymbopogon Flexuosus (Lemongrass) Oil, Glycine Soja (Soybean) Oil, Limonene, Linalool, Citral, Citronellol, Geraniol."
LANCÔME BIENFAIT UV SPF 50+ Super Fluid Facial Sunscreen,"Water, Cyclopentasiloxane, Alcohol Denat., Silica, Dicaprylyl Ether, Styrene/Acrylates Copolymer, Diethylhexyl Syringylidenemalonate, Peg-30 Dipolyhydroxystearate, Dimethicone, Cyclohexasiloxane, Polymethylsilsesquioxane, Nylon-12, Dicaprylyl Carbonate, Phenoxyethanol, Lauryl Peg/Ppg-18/18 Methicone, Sodium Chloride, Caprylyl Glycol, Methylparaben, Poly C10-30 Alkyl Acrylate, Disteardimonium Hectorite, Disodium EDTA, Dodecene, Poloxamer 407."
DR. BRANDT SKINCARE Do Not Age with Dr. Brandt Triple Peptide Eye Cream,"Water, Shea Butter, Lecithin, Methylsilanol Hydroxyproline Aspartate, Cyclopentasiloxane, Cetyl Palmitate, Siloxanetriol Alginate, C12-16 Alcohols, Glycerin, Cetyl Alcohol, Cetyl Lactate, Octyldodecyl Stearate, Glyceryl Stearate Citrate, Acetyl Hexapeptide-8, Jojoba Seed Oil, Dimethicone, Bis-Hydroxyethoxypropyl Dimethicone, Palmitic Acid, Butylene Glycol, Phenoxyethanol, Polyglyceryl-3-Stearate, Propylene Glycol, Betaine, Tocopheryl Acetate, Acetyl Citrull Amido Arginine, Palmitoyl Oligopeptide, Camellia Oleifera Leaf Extract, Lavender Oil, Xanthan Gum, Glyceryl Polymethacrylate, Caffeine, Sodium Acrylates Copolymer, Tetrasodium Edta, Bht, Ascorbic Acid Polypeptide, Retinyl Palmitate, Sodium Pca, Hydrogenated Polyisobutene, Phospholipids, Ethylhexylglycerin, Disodium Edta, Ceramide 3, Polyglyceryl-10 Stearate, Sunflower Seed Oil, Grape Fruit Extract, Sorbic Acid."
TATCHA Violet-C Radiance Mask,"Water, Butylene Glycol, Kaolin, Montmorillonite, Polysorbate 20, Jojoba Esters, Peg-100 Stearate, Bentonite, Glycerin, Citrus Grandis (Grapefruit) Peel Oil*, Lavandula Angustifolia (Lavender) Oil*, Pelargonium Graveolens Flower Oil*, Amyris Balsamifera Bark Oil*, Salvia Sclarea (Clary) Oil*, Anthemis Nobilis Flower Oil*, Rosa Centifolia Flower Extract, Limonene, Linalool, Geraniol, Epilobium Angustifolium Flower\Leaf\Stem Extract, Castanea Sativa (Chestnut) Seed Extract, Albizia Julibrissin Bark Extract, Lecithin, Ethylhexylglycerin, Caprylyl Glycol, Propylene Glycol Laurate, Propylene Glycol Stearate, Peg-150 Distearate, Hypnea Musciformis (Algae) Extract, Gellidiela Acerosa (Algae) Extract, Simethicone, Sodium Hyaluronate, Sorbitan Laurate, Hexylene Glycol, Dehydroacetic Acid, Xanthan Gum, Trisodium Edta, Phenoxyethanol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499). *Essential Oil."
NARS Radiance Primer Broad Spectrum SPF 35 Sunscreen,"Water, Caprylyl Methicone, Dipropylene Glycol, Propanediol, Dimethicone, Butyloctyl Salicylate, Lactobacillus Ferment, Isododecane, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Trisiloxane, Polysorbate 60, Trimethylsiloxysilicate, Dextrin Palmitate, Phenoxyethanol, C14-22 Alcohols, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydrolyzed Wheat Protein/Pvp Crosspolymer, Panthenol, Fragrance, Evodia Rutaecarpa Fruit Extract, Dibutyl Ethylhexanoyl Glutamide, Dibutyl Lauroyl Glutamide, Disodium Edta, C12-20 Alkyl Glucoside, Dipotassium Glycyrrhizate, Tocopheryl Acetate, Sodium Hyaluronate, Butylene Glycol, Pentylene Glycol, Tin Oxide, Potassium Sorbate, Hydroxyphenyl Propamidobenzoic Acid, Ethylhexylglycerin, Ascorbyl Palmitate, Mica, Red 4, Yellow 5."
LANEIGE BB Cushion Hydra Radiance SPF 50,"Water, Cyclopentasiloxane, Zinc Oxide (CI 77947), Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Cyclohexasiloxane, Phenyl Trimethicone, Iron Oxides (CI 77492), Butylene Glycol Dicaprylate/Dicaprate, Niacinamide, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Titanium Dioxide (CI 77891 , Iron Oxides (CI 77491), Butylene Glycol, Sodium Chloride, Iron Oxides (CI 77499), Aluminum Hydroxide, HDI/Trimethylol Hexyllactone Crosspolymer, Stearic Acid, Methyl Methacrylate Crosspolymer, Triethoxycaprylylsilane, Phenoxyethanol, Fragrance, Disteardimonium Hectorite, Caprylyl Glycol, Yeast Extract, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Trimethylsiloxysilicate, Polysorbate 80, Disodium EDTA, Hydrogenated Lecithin, Dimethicone/Vinyl Dimethicone Crosspolymer, Mica (CI 77019), Silica, 1,2-Hexanediol, Polypropylsilsesquioxane, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Camellia Sinensis Leaf Extract, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside."
ORIGINS Original Skin™ Retexturizing Mask with Rose Clay,"Water, Butylene Glycol, Kaolin, Montmorillonite, Polysorbate 20, Jojoba Esters, Peg-100 Stearate, Bentonite, Glycerin, Citrus Grandis (Grapefruit) Peel Oil*, Lavandula Angustifolia (Lavender) Oil*, Pelargonium Graveolens Flower Oil*, Amyris Balsamifera Bark Oil*, Salvia Sclarea (Clary) Oil*, Anthemis Nobilis Flower Oil*, Rosa Centifolia Flower Extract, Limonene, Linalool, Geraniol, Epilobium Angustifolium Flower\Leaf\Stem Extract, Castanea Sativa (Chestnut) Seed Extract, Albizia Julibrissin Bark Extract, Lecithin, Ethylhexylglycerin, Caprylyl Glycol, Propylene Glycol Laurate, Propylene Glycol Stearate, Peg-150 Distearate, Hypnea Musciformis (Algae) Extract, Gellidiela Acerosa (Algae) Extract, Simethicone, Sodium Hyaluronate, Sorbitan Laurate, Hexylene Glycol, Dehydroacetic Acid, Xanthan Gum, Trisodium Edta, Phenoxyethanol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499). *Essential Oil."
KIEHL'S SINCE 1851 Cucumber Herbal Conditioning Cleanser,"Water, Propylene Glycol, Glycerin, Sodium Methyl Cocoyl Taurate, Coco-Betaine, Sodium Cocoyl Isethionate, Sodium Chloride, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Peg-100 Stearate, Ppg-5-Ceteth-20, Glyceryl Stearate, Coconut Acid, Caprylyl Glycol, Peg-55 Propylene Glycol Oleate, Styrene/Acrylates Copolymer, Salicylic Acid, Chlorphenesin, Hydrogenated Coconut Acid, Cucumber Fruit Extract, Polyquaternium-53, Coco-Glucoside, Disodium Edta, Lavandula Hybrida Oil, Sodium Isethionate, Peg-30 Dipolyhydroxystearate, Trideceth-6, Citrus Medica Limonum (Lemon) Peel Oil, Rosemary Leaf Oil, Benzoic Acid, Citric Acid, Sodium Hydroxide."
TATA HARPER Regenerating Cleanser,"Water, Helianthus Annuss (Ssunflower) Seed Oil, Glycerin, Dimethicone, Glyceryl Stearate SE, Cyclopentasiloxane, Rosa Canina Fruit Oil, Cetearyl Alcohol, Cetyl Alcohol, Parfum/Fragrance, Ceteareth-20, Phenoxyethanol, Oenothera Biennis (Evening Primrose) Oil, Allantoin, Triticum Vulgare (Wheat) Germ Oil, Carmbomer, Panthenol, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Ethylhexyl Methoxycinnamate, Tocopheryl Acetate, Citrus Grandis (Grapefruit) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Retinyl Palmitate, Citric Acid, Tocopeherol, Yellow 6 (CI 15985), Ascorbyl Palmitate, Red 40 (CI 16035), BHT, Benzyl Benzoate, Citral, Limonene. Linalool."
PHILOSOPHY Uplifting Miracle Worker Eye Cream,"Water, Glycerin, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Dimethicone, Pentylene Glycol, Squalane, C10-18 Triglycerides, Paraffin, Cetyl Alcohol, Glyceryl Stearate, Acrylates Crosspolymer, Cetearyl Alcohol, Pvp, Helianthus Annuus (Sunflower) Seed Oil, Aluminum Starch Octenylsuccinate, Phenoxyethanol, Peg-75 Stearate, Xanthan Gum, Albizia Julibrissin Bark Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Ceteth-20, Steareth-20, Microcristallina Cera/Microcrystalline Wax/Cire Microcrystalline, Glucosyl Hesperidin, Sorbitol, Disodium Edta, Sodium Hydroxide, Adenosine, Laminaria Digitata Extract, Secale Cereale (Rye) Seed Extract, Pseudoalteromonas Ferment Extract, Lecithin, Biosaccharide Gum-1, Sodium Benzoate, Citric Acid, Saccharide Isomerate, Caprylyl Glycol, Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees, Hydrolyzed Yeast Protein, Potassium Sorbate, Glyceryl Caprylate, Salicylic Acid, Sigesbeckia Orientalis Extract, Tocopherol."
ESTÉE LAUDER Revitalizing Supreme Global Anti-Aging Crème,"Revitalizing Supreme+ Cell Pwr Crm Division: El (Estee Lauder)Ingredients: Water , Dimethicone , Glycerin , Isohexadecane , Butylene Glycol , Bis-Peg-18 Methyl Ether Dimethyl Silane , Peg-10 Dimethicone , Disteardimonium Hectorite , Pentylene Glycol , Cucumis Sativus (Cucumber) Fruit Extract , Narcissus Tazetta Bulb Extract , Magnolia Officinalis Bark Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Lens Esculenta (Lentil) Fruit Extract , Pyrus Malus (Apple) Fruit Extract , Whey Protein/Lactis Protein/Proteine Du Petit-Lait , Citrullus Vulgaris (Watermelon) Fruit Extract , Moringa Oleifera Seed Extract , Laminaria Digitata Extract , Triticum Vulgare (Wheat) Germ Extract , Opuntia Tuna Extract , Acetyl Hexapeptide-8 , Sorbitol , Helianthus Annuus (Sunflower) Seedcake , Caffeine , Algae Extract , Sodium Hyaluronate , Sodium Lactate , Squalane , Polysilicone-11 , Isododecane , Tocopheryl Acetate , Sucrose , Acetyl Glucosamine , Polyethylene , Propylene Carbonate , Citric Acid , Peg-32 , Propylene Glycol Dicaprate , Peg-6 , Isoceteth-20 , Sodium Dehydroacetate , Aminopropyl Ascorbyl Phosphate , Fragrance , Sodium Pca , Sodium Citrate , Disodium Edta , Bht , Phenoxyethanol , Iron Oxides (Ci 77491)"
ESTÉE LAUDER DayWear Multi-Protection Anti-Oxidant Sheer Tint Release Moisturizer Broad Spectrum SPF 15 - Normal/ Combination Skin,"Daywear Plus Mlti/Prt Moist Spf 15 Division: El (Estee Lauder)Active Ingredients: Octinoxate 7.50% , Octisalate 5.00% , Avobenzone 2.00%Ingredients: Water , Dimethicone , Caprylic/Capric/Myristic/Stearic Triglyceride , Butylene Glycol , Cyclopentasiloxane , Cetyl Ricinoleate , Steareth-2 , Di-C12-15 Alkyl Fumarate , Polysilicone-11 , Pentylene Glycol , Steareth-21 , Aspalathus Linearis (Red Tea) Leaf Extract , Camellia Sinensis (White Tea) Leaf Extract , Coffea Arabica (Coffee) Seed Extract , Polygonum Cuspidatum Root Extract , Triticum Vulgare (Wheat) Germ Extract , Betula Alba (Birch) Bark Extract , Laminaria Ochroleuca Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Saccharomyces Lysate Extract , Rosmarinus Officinalis (Rosemary) Extract , Vitis Vinifera (Grape) Seed Extract , Ethylbisiminomethylguaiacol Manganese Chloride , Cholesterol , Phospholipids , Maltodextrin , Ascorbyl Tocopheryl Maleate , Cyclodextrin , Sodium Hyaluronate , Hydrogenated Lecithin , Trehalose , Nordihydroguaiaretic Acid , Palmitoyl Hydroxypropyltrimonium Amylopectin/Glycerin Crosspolymer , Pantethine , Linolenic Acid , Oryzanol , Lecithin , Squalane , Linoleic Acid , Glycerin , Sodium Pca , Urea , Caprylic/Capric Triglyceride , Polyethylene , Isopropyl Myristate , Behenyl Alcohol , Sodium Carbomer , Tromethamine , Stearyl Alcohol , Pvp/Hexadecene Copolymer , Polymethyl Methacrylate , Polyquaternium-51 , Carbomer , Fragrance , Disodium Edta , Sorbic Acid , Potassium Sorbate , Sodium Dehydroacetate , Chlorphenesin , Phenoxyethanol , Linalool , Butylphenyl Methylpropional , Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde , Benzyl Salicylate , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499)"
ST. TROPEZ TANNING ESSENTIALS Pro Light Self Tan Bronzing Mist,"Water, Dihydroxyacetone, Propylene Glycol, PPG-5-Ceteth-20, Glycerin, Ethoxydiglycol, Caramel, Phenoxyethanol, PEG-12 Dimethicone, Parfum (Fragrance), Sodium Metabisulfite, Tocopherol, Ethylhexylglycerin, Linalool, Alpha-isomethyl Ionone, CI 14700 (Red 4), CI 19140 (Yellow 5), CI 42090 (Blue 1)."
OLEHENRIKSEN Nurture Me™ Moisturizing Crème,"Water, Helianthus Annuss (Ssunflower) Seed Oil, Glycerin, Dimethicone, Glyceryl Stearate SE, Cyclopentasiloxane, Rosa Canina Fruit Oil, Cetearyl Alcohol, Cetyl Alcohol, Parfum/Fragrance, Ceteareth-20, Phenoxyethanol, Oenothera Biennis (Evening Primrose) Oil, Allantoin, Triticum Vulgare (Wheat) Germ Oil, Carmbomer, Panthenol, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Ethylhexyl Methoxycinnamate, Tocopheryl Acetate, Citrus Grandis (Grapefruit) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Retinyl Palmitate, Citric Acid, Tocopeherol, Yellow 6 (CI 15985), Ascorbyl Palmitate, Red 40 (CI 16035), BHT, Benzyl Benzoate, Citral, Limonene. Linalool."
GLAMGLOW BUBBLESHEET™ Oxygenating Deep Cleanse Mask - Breast Cancer Awareness Edition,"Water, Glycerin, Methyl Perfluorobutyl Ether, Acrylates Copolymer, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Lauryl Glucoside, Retinyl Palmitate, Allantoin, Arginine, Camellia Sinensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Ascorbyl Glucoside, Ethylhexylglycerin, Ceramide Np, Sodium Pca, Sodium Chloride, Saccharide Isomerate, Polyquaternium- 10, Potassium Cocoyl Glycinate, Potassium Cocoate, Hexylene Glycol, Butylene Glycol, Citric Acid, Hydroxyethyl Urea, Citrus Limon (Lemon) Peel Oil, Limonene, Citral, Sodium Citrate, Disodium Edta, Phenoxyethanol."
LA MER Little Miss Miracle Limited-Edition Crème de la Mer,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sesamum Indicum (Sesame) Seed Powder, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin, Water, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol, Citric Acid, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral, Sodium Benzoate, Alcohol Denat., Fragrance."
TATCHA Luminous Dewy Skin Night Concentrate,"Water, Glycerin, Propanediol, Squalane, Cyclopentasiloxane, Triethylhexanoin, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Ziziphus Jujuba Fruit Extract, Thymus Serpyllum Extract, Royal Jelly Extract, Stearyl Glycyrrhetinate, Camellia Sinensis Leaf Extract, Algae Extract, Scutellaria Baicalensis Root Extract, Oryza Sativa (Rice) Germ Oil, Camellia Japonica Seed Oil, Sericin, Inositol, Glyceryl Stearate Se, Polyglyceryl-2 Diisostearate, Ppg-5-Ceteth-10 Phosphate, Sodium Lauroyl Lactylate, Sorbitan Stearate, Trideceth-12, Ethylhexylglycerin, Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Butylene Glycol, Behenyl Alcohol, Parfum/Fragrance, Alcohol, Phenoxyethanol."
FRESH Vitamin Nectar Vitamin C Brightening Powder,"Packette 2: Oryza Sativa (Rice) Starch, Ascorbic Acid, Hydrated Silica."
PHILOSOPHY Purity Made Simple Cleanser,"Water, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Limnanthes Alba (Meadowfoam) Seed Oil, Coco-Glucoside, Coconut Alcohol, Peg-120 Methyl Glucose Dioleate, Glycerin, Carbomer, Isopropyl Alcohol, Polysorbate 20, Citric Acid, Imidazolidinyl Urea, Methylparaben, Aniba Rosaeodora (Rosewood) Wood Oil, Propylparaben, Triethanolamine, Amyris Balsamifera Bark Oil, Bulnesia Sarmientoi Wood Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Flower Oil, Rosa Centifolia Flower Oil, Santalum Album (Sandalwood) Oil, Daucus Carota Sativa (Carrot) Seed Oil, Mimosa Tenuiflora Bark Extract, Ormenis Multicaulis Oil, Piper Nigrum (Pepper) Fruit Oil, Salvia Sclarea (Clary) Oil, Fd&C Yellow No. 5 (Ci 19140)."
GLAMGLOW YOUTHMUD™ Tinglexfoliate Treatment,"Water, Montmorillonite, Kaolin, Magnesium Aluminum Silicate, Silica, Pumice, Camellia Sinensis Leaf, Cucumis Sativus (Cucumber) Fruit Extract, Chamomilla Recutita (Matricaria) Extract, Hedera Helix (Ivy) Extract, Symphytum Officinale (Comfrey) Leaf Extract, Camellia Oleifera Leaf Extract, Glycerin, Tocopheryl Acetate, Calendula Officinalis Extract, Ethylhexylglycerin, Hexylene Glycol, Lavandula Hybrida (Lavandin) Oil, Caprylyl Glycol, Pvp, Xanthan Gum, Fragrance, Hexyl Cinnamal, Linalool, Benzyl Benzoate, Limonene, Cinnamal, Chlorphenesin, Phenoxyethanol"
GUERLAIN Abeille Royale Youth Watery Oil,-Black Bee Honey -Ouessant Honey: Repairs skin. -Guerlain Exclusive Royal Jelly: Nourishes skin. -Commiphora Oil: Renews skin.
OLEHENRIKSEN Goodnight Glow Retin-ALT Sleeping Crème,"Water, Glycerin, Vitis Vinifera (Grape) Seed Oil, C12-15 Alkyl Benzoate, Dicaprylyl Carbonate, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Lactic Acid, Glycolic Acid, Glyceryl Stearate, Potassium Hydroxide, Propanediol, Polysorbate 60, Panthenol, Dimethicone, Cetyl Alcohol, Parfum/Fragrance, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Bakuchiol, Leontopodium Alpinum Callus Culture Extract, Isohexadecane, Linoleic Acid, Peg-75 Stearate, Phenoxyethanol, Cetearyl Glucoside, Polysorbate 80, Steareth-20, Ceteth-20, Linolenic Acid, Xanthan Gum, Citric Acid, Ethylhexylglycerin, Enteromorpha Compressa Extract, Sorbitan Oleate, Santalum Album (Sandalwood) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Limon (Lemon) Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Leuconostoc/Radish Root Ferment Filtrate, Sodium Phytate, Silybum Marianum Fruit Extract, Ocimum Sanctum Leaf Extract, Tocopherol, Violet 2 (Ci 60730), Red 4 (Ci 14700), Limonene, Linalool, Citral."
MOON JUICE Beauty Shroom™ Exfoliating Acid Potion,"Water, Glycolic Acid, Phytic Acid, Sodium Hydroxide, Niacinamide, Propanediol, Glycereth-7 Trimethyl Ether, Lactic Acid, Salicylic Acid, Allantoin, Ganoderma Lucidum (Reishi Mushroom) Extract, Tocotrienols, Glycerin, Polyglyceryl-10 Oleate, Oryza Sativa (Rice) Bran Oil, Tocopherol, Salvia Sclarea (Clary) Oil, Citric Acid, Lonicera Caprifolium (Honeysuckle) Flower Extract, Lonicera Japonica (Honeysuckle) Flower Extract."
BOSCIA The Future is Female Peppermint Blotting Linens,"-Natural Abaca Tree Fiber: Absorbs oil and perspiration. -Peppermint Extract: Provides refreshing, aromatherapeutic benefits."
LA MER The Moisturizing Cool Gel Cream,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
SUPERGOOP! Forever Young Body Butter with Sea Buckthorn SPF 40 PA+++,"Water, Isononyl Isononanoate, Caprylyl,, Methicone, Dicaprylyl Ether, Polyester-8, Dimethicone, Glycerin, Propanediol, Cetearyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer Sorbitan Stearate, Phenoxyethanol, Pyrus Malus (Apple) Fruit Extract, Potassium Cetyl Phosphate, Ceteareth-20, Sodium Polyacrylate Starch, Diethylhexyl Syringylidenemalonate, Sodium PCA, Hydrogenated Palm Glycerides, Ethylhexylglycerin, Chlorphenesin, Sodium Ascorbyl Glucoside, Butylene Glycol, Disodium EDTA, Trimethylcyclohexyl Butylcarbamate, Xanthan Gum, Citrus Tangerina (Tangerine) Peel Oil, Cymbopogon Schoenanthus Oil, Elettaria Cardamomum Seed Oil, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Flower Oil, Lavandula Hybrida Oil, Vanillin, Limonene, Polygonum Aviculare Extract, BHT, Citral, Hippophae Rhamnoides Fruit Extract Maltodextrin, Portulaca Oleracea Extract Potassium Sorbate, Sodium Benzoate, Tocopherol."
FARMACY Coconut Gel Sheet Mask - Hydrating,"Water, Glycerin, Propanediol, Methylpropanediol, 1,2-Hexanediol, Polyglycerin-3, Cocos Nucifera (Coconut) Water, Echinacea Purpurea Root Extract, Sodium Hyaluronate, Cucumis Sativus (Cucumber) Fruit Extract, Collagen, Panthenol, Allantoin, Tocopherol, Betaine, Beta-Glucan, Saccharide Isomerate, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia, (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Myrciaria Dubia Fruit Extract, Artemisia Vulgaris Extract, Cananga Odorata Flower Oil, Salvia Officinalis (Sage) Leaf Extract, Zingiber Officinale (Ginger) Root Oil, Cetearyl Olivate, Butylene Glycol, Sorbitan Olivate, Trehalose, Polyglyceryl-10 Laurate, Diethoxyethyl Succinate, Ammonium, Acryloyldimethyltaurate/Vp Copolymer, Carbomer, Arginine, Caprylyl Glycol, Ethylhexylglycerin, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Caprylic/Capric Triglyceride, Leuconostoc/Radish Root Ferment Filtrate, T-Butyl Alcohol, Citric Acid, Sodium Citrate."
TOO COOL FOR SCHOOL Egg Cream Mask Firming,"Water, Butylene Glycol, Glycerin, Glycereth-26, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Cyclopentasiloxane, Cyclohexasiloxane, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 60, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Dimethicone, 1,2-Hexanediol, Cetearyl Alcohol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Egg Yolk Extract, Sodium Polyacrylate, Arginine, Ethylhexylglycerin, Xanthan Gum, Adenosine, Tocopheryl Acetate, Hydrolyzed Collagen, Albumen Extract, Ubiquinone, Disodium EDTA, Fragrance."
